species_key,pokedex_number,pokemon_name_en,pokemon_name_zh,form_key,form_zh_name,stable_move_key,move_name_en,move_name_zh,learn_method,learn_trigger,learn_condition,starting_pool,wild_pool,partner_pool,tm_enabled,tutor_enabled,bond_required,battle_memory_required,environment_required,story_flag_required,evolution_only,is_enabled,review_status,notes
1,1,Bulbasaur,妙蛙種子,,,move_33,Tackle,撞擊,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_45,Growl,叫聲,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_22,Vine Whip,藤鞭,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_74,Growth,生長,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_73,Leech Seed,寄生種子,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_75,Razor Leaf,飛葉快刀,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_77,Poison Powder,毒粉,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_79,Sleep Powder,催眠粉,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_402,Seed Bomb,種子炸彈,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_36,Take Down,猛撞,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_230,Sweet Scent,甜甜香氣,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_235,Synthesis,光合作用,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_388,Worry Seed,煩惱種子,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_438,Power Whip,強力鞭打,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
1,1,Bulbasaur,妙蛙種子,,,move_76,Solar Beam,日光束,natural,species_growth,隨個體成長、日常磨練與本能覺醒逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_22,Vine Whip,藤鞭,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_33,Tackle,撞擊,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_45,Growl,叫聲,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_74,Growth,生長,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_73,Leech Seed,寄生種子,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_75,Razor Leaf,飛葉快刀,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_77,Poison Powder,毒粉,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_79,Sleep Powder,催眠粉,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_402,Seed Bomb,種子炸彈,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_36,Take Down,猛撞,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_230,Sweet Scent,甜甜香氣,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_235,Synthesis,光合作用,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_388,Worry Seed,煩惱種子,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_438,Power Whip,強力鞭打,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
2,2,Ivysaur,妙蛙草,,,move_76,Solar Beam,日光束,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_572,Petal Blizzard,落英繽紛,evolution,evolution_complete,完成進化後可立即領悟；若未即時掌握，可在後續訓練中補完,no,yes,yes,no,no,,,,,yes,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_74,Growth,生長,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_80,Petal Dance,花瓣舞,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_22,Vine Whip,藤鞭,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_33,Tackle,撞擊,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_45,Growl,叫聲,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_73,Leech Seed,寄生種子,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_75,Razor Leaf,飛葉快刀,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_79,Sleep Powder,催眠粉,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_77,Poison Powder,毒粉,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_402,Seed Bomb,種子炸彈,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_36,Take Down,猛撞,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_230,Sweet Scent,甜甜香氣,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_235,Synthesis,光合作用,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_388,Worry Seed,煩惱種子,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_438,Power Whip,強力鞭打,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
3,3,Venusaur,妙蛙花,,,move_76,Solar Beam,日光束,natural,species_growth,隨個體成長、戰鬥經驗與本能深化逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_001,
4,4,Charmander,小火龍,,,move_10,Scratch,抓,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_45,Growl,叫聲,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_52,Ember,火花,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_108,Smokescreen,煙幕,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_225,Dragon Breath,龍息,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_424,Fire Fang,火焰牙,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_163,Slash,劈開,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_53,Flamethrower,噴射火焰,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_184,Scary Face,鬼面,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_83,Fire Spin,火焰旋渦,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_517,Inferno,煉獄,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
4,4,Charmander,小火龍,,,move_394,Flare Blitz,閃焰衝鋒,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_10,Scratch,抓,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_45,Growl,叫聲,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_52,Ember,火花,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_108,Smokescreen,煙幕,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_225,Dragon Breath,龍息,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_424,Fire Fang,火焰牙,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_163,Slash,劈開,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_53,Flamethrower,噴射火焰,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_184,Scary Face,鬼面,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_517,Inferno,煉獄,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
5,5,Charmeleon,火恐龍,,,move_394,Flare Blitz,閃焰衝鋒,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,no,yes,yes,no,no,,,,,no,yes,segment_002,
6,6,Charizard,噴火龍,,,move_10,Scratch,抓,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_002,
6,6,Charizard,噴火龍,,,move_45,Growl,叫聲,natural,species_growth,屬於該物種在第九世代可自然掌握的招式；TRPG 中以成長、磨合與日常訓練逐步領悟,yes,yes,yes,no,no,,,,,no,yes,segment_002,
