move_id,name,zh_name,jp_name,type,type_zh,category,category_zh,power,effect_text_52poke,effect_family,effect_code,effect_code_zh,target,stat_affected,stages,major_status,volatile_status,healing_ratio,recoil_ratio,drain_ratio,multi_hit,priority_delta,force_switch,fixed_damage,ohko,charging_move,semi_invulnerable,screen_or_field,weather_set,notes_judgement,source_primary,source_reference,coverage_status,review_status,introduced_generation,feature_gate,system_enabled,usage_status_zh,stable_move_key,variant_group,move_id_display,review_flag
1.0,Pound,拍擊,,Normal,一般,Physical,物理,40.0,Deals damage with no additional effect.,damage,,,foe,,,,,,,,,,False,,0.0,False,0.0,,,,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_1,,1.0,
2.0,Karate Chop,空手劈,,Fighting,格鬥,Physical,物理,50.0,Has a high critical hit ratio.,damage,,,foe,,,,,,,,,,False,,0.0,False,0.0,,,附加效果未完全結構化,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_2,,2.0,
3.0,Double Slap,連環巴掌,,Normal,一般,Physical,物理,15.0,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,damage,,,foe,,,,,,,,2-5,,False,,0.0,False,0.0,,,附加效果未完全結構化,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_3,,3.0,
4.0,Comet Punch,連續拳,,Normal,一般,Physical,物理,18.0,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.,damage,,,foe,,,,,,,,2-5,,False,,0.0,False,0.0,,,附加效果未完全結構化,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_4,,4.0,
5.0,Mega Punch,百萬噸重拳,,Normal,一般,Physical,物理,80.0,Deals damage with no additional effect.,damage,,,foe,,,,,,,,,,False,,0.0,False,0.0,,,,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_5,,5.0,
6.0,Pay Day,聚寶功,,Normal,一般,Physical,物理,40.0,The player picks up extra money after in-game battles; the money received is equal to: [user's level * 5 * number of times Pay Day is used]. The player does not lose money if the opponent uses Pay Day but the player wins the battle.,fixed_damage,,,foe,,,,,,,,,,False,level,0.0,False,0.0,,,,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_6,,6.0,
7.0,Fire Punch,火焰拳,,Fire,火,Physical,物理,75.0,Has a 10% chance to burn the target.,major_status,,,foe,,,burn,,,,,,,False,,0.0,False,0.0,,,,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_7,,7.0,
8.0,Ice Punch,冰凍拳,,Ice,冰,Physical,物理,75.0,Has a 10% chance to freeze the target.,major_status,,,foe,,,freeze,,,,,,,False,,0.0,False,0.0,,,,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_8,,8.0,
9.0,Thunder Punch,雷電拳,,Electric,電,Physical,物理,75.0,Has a 10% chance to paralyze the target.,major_status,,,foe,,,paralysis,,,,,,,False,,0.0,False,0.0,,,,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_9,,9.0,
10.0,Scratch,抓,,Normal,一般,Physical,物理,40.0,Deals damage with no additional effect.,damage,,,foe,,,,,,,,,,False,,0.0,False,0.0,,,,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_10,,10.0,
11.0,Vice Grip,夾住,,Normal,一般,Physical,物理,55.0,Deals damage with no additional effect.,damage,,,foe,,,,,,,,,,False,,0.0,False,0.0,,,,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_11,,11.0,
12.0,Guillotine,斷頭鉗,,Normal,一般,Physical,物理,0.0,The target faints; doesn't work on higher-leveled Pokemon.,damage,,,foe,,,,,,,,,,False,,0.0,False,0.0,,,附加效果未完全結構化,52poke（待全面覆核）,現有355招結構化基底,已整理；尚未補全至全部已知招式,待全量補完,1,normal,yes,可用,move_12,,12.0,
