dexnum,name,zh_name,alola,galar,hisui,paldea,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group,Unnamed: 34,form_key,form_zh_name,gender_diff,appearance_diff,battle_form,notes
1,Bulbasaur,妙蛙種子,,,,,1.0,Grass,Poison,Seed Pokémon,0.7,6.9,Overgrow,Chlorophyll,,45.0,49.0,49.0,65.0,65.0,45.0,318.0,1 Sp. Atk,45,50,64,Medium Slow,Grass,Monster,87.5,12.5,20,Ordinary,,,,,,,
2,Ivysaur,妙蛙草,,,,,,1,Grass,Poison,Seed Pokémon,1.0,13,Overgrow,Chlorophyll,,60.0,62.0,63.0,80.0,80.0,60.0,405,"1 Sp. Atk, 1 Sp. Def",45,50,142,Medium Slow,Grass,Monster,87.5,12.5,20,Ordinary,,,,,,
3,Venusaur,妙蛙花,,,,,1.0,Grass,Poison,Seed Pokémon,2,100.0,Overgrow,Chlorophyll,,80.0,82.0,83.0,100.0,100.0,80.0,525.0,"2 Sp. Atk, 1 Sp. Def",45,50,236,Medium Slow,Grass,Monster,87.5,12.5,20,Ordinary,,,,,,,
4,Charmander,小火龍,,,,,1.0,Fire,,Lizard Pokémon,0.6,8.5,Blaze,Solar Power,,39.0,52.0,43.0,60.0,50.0,65.0,309.0,1 Speed,45,50,62,Medium Slow,Dragon,Monster,87.5,12.5,20,Ordinary,,,,,,,
5,Charmeleon,火恐龍,,,,,1.0,Fire,,Flame Pokémon,1.1,19.0,Blaze,Solar Power,,58.0,64.0,58.0,80.0,65.0,80.0,405.0,"1 Sp. Atk, 1 Speed",45,50,142,Medium Slow,Dragon,Monster,87.5,12.5,20,Ordinary,,,,,,,
6,Charizard,噴火龍,,,,,1.0,Fire,Flying,Flame Pokémon,1.7,90.5,Blaze,Solar Power,,78.0,84.0,78.0,109.0,85.0,100.0,534.0,3 Sp. Atk,45,50,267,Medium Slow,Dragon,Monster,87.5,12.5,20,Ordinary,,,,,,,
7,Squirtle,傑尼龜,,,,,1.0,Water,,Tiny Turtle Pokémon,0.5,9.0,Torrent,Rain Dish,,44.0,48.0,65.0,50.0,64.0,43.0,314.0,1 Defense,45,50,63,Medium Slow,Monster,Water 1,87.5,12.5,20,Ordinary,,,,,,,
8,Wartortle,卡咪龜,,,,,1.0,Water,,Turtle Pokémon,1,22.5,Torrent,Rain Dish,,59.0,63.0,80.0,65.0,80.0,58.0,405.0,"1 Defense, 1 Sp. Def",45,50,142,Medium Slow,Monster,Water 1,87.5,12.5,20,Ordinary,,,,,,,
9,Blastoise,水箭龜,,,,,1.0,Water,,Shellfish Pokémon,1.6,85.5,Torrent,Rain Dish,,79.0,83.0,100.0,85.0,105.0,78.0,530.0,3 Sp. Def,45,50,239,Medium Slow,Monster,Water 1,87.5,12.5,20,Ordinary,,,,,,,
10,Caterpie,綠毛蟲,,,,,1.0,Bug,,Worm Pokémon,0.3,2.9,Shield Dust,Run Away,,45.0,30.0,35.0,20.0,20.0,45.0,195.0,1 HP,255,50,39,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
11,Metapod,鐵甲蛹,,,,,1.0,Bug,,Cocoon Pokémon,0.7,9.9,Shed Skin,,,50.0,20.0,55.0,25.0,25.0,30.0,205.0,2 Defense,120,50,72,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
12,Butterfree,巴大蝶,,,,,1.0,Bug,Flying,Butterfly Pokémon,1.1,32.0,Compound Eyes,Tinted Lens,,60.0,45.0,50.0,90.0,80.0,70.0,395.0,"2 Sp. Atk, 1 Sp. Def",45,50,178,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
13,Weedle,獨角蟲,,,,,1.0,Bug,Poison,Hairy Bug Pokémon,0.3,3.2,Shield Dust,Run Away,,40.0,35.0,30.0,20.0,20.0,50.0,195.0,1 Speed,255,50,39,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
14,Kakuna,鐵殼蛹,,,,,1.0,Bug,Poison,Cocoon Pokémon,0.6,10.0,Shed Skin,,,45.0,25.0,50.0,25.0,25.0,35.0,205.0,2 Defense,120,50,72,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
15,Beedrill,大針鋒,,,,,1.0,Bug,Poison,Poison Bee Pokémon,1,29.5,Swarm,Sniper,,65.0,90.0,40.0,45.0,80.0,75.0,395.0,"2 Attack, 1 Sp. Def",45,50,178,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
16,Pidgey,波波,,,,,1.0,Normal,Flying,Tiny Bird Pokémon,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,40.0,45.0,40.0,35.0,35.0,56.0,251.0,1 Speed,255,50,50,Medium Slow,Flying,,50,50.0,15,Ordinary,,,,,,,
17,Pidgeotto,比比鳥,,,,,1.0,Normal,Flying,Bird Pokémon,1.1,30.0,Keen Eye,Tangled Feet,Big Pecks,63.0,60.0,55.0,50.0,50.0,71.0,349.0,2 Speed,120,50,122,Medium Slow,Flying,,50,50.0,15,Ordinary,,,,,,,
18,Pidgeot,大比鳥,,,,,1.0,Normal,Flying,Bird Pokémon,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,83.0,80.0,75.0,70.0,70.0,101.0,479.0,3 Speed,45,50,216,Medium Slow,Flying,,50,50.0,15,Ordinary,,,,,,,
19,Rattata,小拉達,"小拉達
阿羅拉的樣子",,,,1.0,Normal,,Mouse Pokémon,0.3,3.5,Run Away,Guts,Hustle,30.0,56.0,35.0,25.0,35.0,72.0,253.0,1 Speed,255,50,51,Medium Fast,Field,,50,50.0,15,Ordinary,,,,,,,
20,Raticate,拉達,"拉達
阿羅拉的樣子",,,,1.0,Normal,,Mouse Pokémon,0.7,18.5,Run Away,Guts,Hustle,55.0,81.0,60.0,50.0,70.0,97.0,413.0,2 Speed,127,50,145,Medium Fast,Field,,50,50.0,15,Ordinary,,,,,,,
21,Spearow,列雀,,,,,1.0,Normal,Flying,Tiny Bird Pokémon,0.3,2.0,Keen Eye,Sniper,,40.0,60.0,30.0,31.0,31.0,70.0,262.0,1 Speed,255,50,52,Medium Fast,Flying,,50,50.0,15,Ordinary,,,,,,,
22,Fearow,大嘴雀,,,,,1.0,Normal,Flying,Beak Pokémon,1.2,38.0,Keen Eye,Sniper,,65.0,90.0,65.0,61.0,61.0,100.0,442.0,2 Speed,90,50,155,Medium Fast,Flying,,50,50.0,15,Ordinary,,,,,,,
23,Ekans,阿伯蛇,,,,,1.0,Poison,,Snake Pokémon,2,6.9,Intimidate,Shed Skin,Unnerve,35.0,60.0,44.0,40.0,54.0,55.0,288.0,1 Attack,255,50,58,Medium Fast,Dragon,Field,50,50.0,20,Ordinary,,,,,,,
24,Arbok,阿伯怪,,,,,1.0,Poison,,Cobra Pokémon,3.5,65.0,Intimidate,Shed Skin,Unnerve,60.0,95.0,69.0,65.0,79.0,80.0,448.0,2 Attack,90,50,157,Medium Fast,Dragon,Field,50,50.0,20,Ordinary,,,,,,,
25,Pikachu,皮卡丘,,,,,1.0,Electric,,Mouse Pokémon,0.4,6.0,Static,Lightning Rod,,35.0,55.0,40.0,50.0,50.0,90.0,320.0,2 Speed,190,50,112,Medium Fast,Fairy,Field,50,50.0,10,Ordinary,,,,,,,
